Discriminator, 0.9871101379394531, 0.5625
Discriminator, 0.4148333668708801, 0.90625
Discriminator, 0.296677827835083, 0.9375
Discriminator, 0.2564966678619385, 0.9375
Discriminator, 0.5626370906829834, 0.90625
Discriminator, 0.3520514667034149, 0.9375
Discriminator, 0.00040078163146972656, 1.0
Discriminator, 0.07448335736989975, 0.96875
Discriminator, 0.20209814608097076, 0.9375
Discriminator, 0.16044877469539642, 0.9375
Discriminator, 0.13896238803863525, 0.96875
Discriminator, 0.24066561460494995, 0.875
Discriminator, 0.023416029289364815, 1.0
Discriminator, 0.1604294776916504, 0.96875
Discriminator, 0.052106823772192, 0.96875
Discriminator, 0.10884405672550201, 0.9375
Discriminator, 0.018799208104610443, 1.0
Discriminator, 0.08512429893016815, 0.96875
Discriminator, 0.048914890736341476, 1.0
Discriminator, 0.09892883896827698, 0.96875
Discriminator, 0.06224772334098816, 1.0
Discriminator, 0.07772700488567352, 0.96875
Discriminator, 0.057689789682626724, 1.0
Discriminator, 0.019525397568941116, 1.0
Discriminator, 0.05350226163864136, 1.0
Discriminator, 0.026525411754846573, 1.0
Discriminator, 0.07804426550865173, 0.9375
Discriminator, 0.00709262490272522, 1.0
Discriminator, 0.05177401006221771, 0.96875
Discriminator, 0.19931696355342865, 0.90625
Discriminator, 0.060023918747901917, 0.96875
