Generator adv loss, Generator dream acc loss, Discriminator adv loss
0.021439719945192337,0.39631810784339905,0.04085276275873184
0.024331122636795044,0.3451232612133026,0.027207080274820328
0.041440412402153015,0.3381445109844208,0.014747687615454197
0.06483285129070282,0.3552478849887848,0.007162575609982014
0.08160308748483658,0.32069656252861023,0.005356636364012957
0.09270253777503967,0.32463428378105164,0.0018895772518590093
0.10498952865600586,0.3054547607898712,0.003080274909734726
0.11149520426988602,0.323002427816391,0.001263294368982315
0.11794187873601913,0.3247564136981964,0.001960433553904295
0.1209581270813942,0.3311951756477356,0.0006681946106255054
0.11003898829221725,0.28726887702941895,0.001756275654770434
0.12819474935531616,0.30911123752593994,0.002432306297123432
0.13274282217025757,0.3114343583583832,0.00046439236029982567
0.12880545854568481,0.2978505492210388,0.0017697876319289207
0.13742965459823608,0.3250708281993866,0.00360865518450737
0.1227695494890213,0.326636403799057,0.0006483211182057858
0.14866431057453156,0.30753281712532043,0.00027063372544944286
0.15537752211093903,0.3245091140270233,0.0002551806392148137
0.1319485455751419,0.3191989064216614,0.0005095143569633365
0.15342766046524048,0.298431932926178,0.0002815601183101535
0.16010558605194092,0.30496954917907715,0.00033226091181859374
0.13814447820186615,0.3136157989501953,0.00038640107959508896
0.13011442124843597,0.3140677213668823,0.0004932552110403776
0.11659079790115356,0.3603910207748413,0.0009544194326736033
0.07740560919046402,0.3579493761062622,0.012086755596101284
0.08690349757671356,0.33936479687690735,0.008505590260028839
0.09082481265068054,0.3438030183315277,0.0023579737171530724
0.1056387722492218,0.3448612689971924,0.0037526688538491726
0.10904771089553833,0.34286555647850037,0.003268404398113489
0.08741294592618942,0.3088938593864441,0.0025738771073520184
0.09214761853218079,0.29593712091445923,0.0023852167651057243
0.09139765053987503,0.34318283200263977,0.0032835195306688547
0.11318542808294296,0.31943896412849426,0.002992709167301655
0.12237630039453506,0.3384271562099457,0.001946665346622467
0.12637680768966675,0.3180350661277771,0.004251297563314438
0.09903526306152344,0.32037675380706787,0.0035394150763750076
0.122126504778862,0.33295243978500366,0.0025209502782672644
0.0813065767288208,0.2996577322483063,0.007524400483816862
0.09705552458763123,0.29699528217315674,0.010542484000325203
0.08344687521457672,0.3065156936645508,0.0025887179654091597
0.09853938966989517,0.33655333518981934,0.005996805615723133
0.1011233776807785,0.34257256984710693,0.0036323941312730312
0.10228928923606873,0.3320034146308899,0.0024223364889621735
0.09985879063606262,0.31017228960990906,0.007245991379022598
0.0935298353433609,0.29304853081703186,0.001669790013693273
0.10405798256397247,0.3240412473678589,0.0036584746558219194
0.09893548488616943,0.299846887588501,0.002309727016836405
0.07412205636501312,0.29214951395988464,0.003696662839502096
0.11748452484607697,0.3266678750514984,0.0008181295124813914
0.11909016221761703,0.3211348354816437,0.0017836512997746468
0.1074303686618805,0.3286980092525482,0.005411636084318161
0.10275162011384964,0.2780856788158417,0.003901548683643341
0.09835413098335266,0.2989537715911865,0.0014758463948965073
0.08942177891731262,0.3132096230983734,0.0033337040804326534
0.09876207262277603,0.291088730096817,0.003412713995203376
0.09694425016641617,0.30048075318336487,0.005521474406123161
0.11734576523303986,0.3007925748825073,0.002366475062444806
